trial_type,trial_index,trial_number,time_elapsed,random_id,condition,participant_id,age,gender_id,mus_exp,inst_exp,years_exp,mus_listening,rt,stimulus,response,correct_response,practice,correct,congruent,sound_type,audio,file_name,participant_is_group_member
image-keyboard-response,539,89,636074,pztax6wgqwg,ono,badger,21,female,no,no,0,3,744,stimuli/pictures/hiccup_wom_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/dog_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,545,90,640525,pztax6wgqwg,ono,badger,21,female,no,no,0,3,987,stimuli/pictures/drop_single_2.jpg,0,1,NA,FALSE,yes,sound,stimuli/sounds/drop_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,551,91,644551,pztax6wgqwg,ono,badger,21,female,no,no,0,3,549,stimuli/pictures/motor_dirt_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/cough_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,557,92,648514,pztax6wgqwg,ono,badger,21,female,no,no,0,3,549,stimuli/pictures/dog_york_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/dog_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,563,93,652835,pztax6wgqwg,ono,badger,21,female,no,no,0,3,651,stimuli/pictures/drop_multi_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/drop_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,569,94,657378,pztax6wgqwg,ono,badger,21,female,no,no,0,3,869,stimuli/pictures/cough_wom_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/motor_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,575,95,662544,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1566,stimuli/pictures/motor_dirt_2.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/motor_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,581,96,667001,pztax6wgqwg,ono,badger,21,female,no,no,0,3,727,stimuli/pictures/motor_dirt_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drop_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,587,97,672643,pztax6wgqwg,ono,badger,21,female,no,no,0,3,524,stimuli/pictures/hiccup_man_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/dog_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,593,98,676749,pztax6wgqwg,ono,badger,21,female,no,no,0,3,716,stimuli/pictures/motor_harley_1.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/motor_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,599,99,681153,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1200,stimuli/pictures/cough_wom_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/hiccup_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,605,100,685028,pztax6wgqwg,ono,badger,21,female,no,no,0,3,530,stimuli/pictures/motor_dirt_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/hiccup_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,611,101,689020,pztax6wgqwg,ono,badger,21,female,no,no,0,3,683,stimuli/pictures/hiccup_man_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/hiccup_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,617,102,692866,pztax6wgqwg,ono,badger,21,female,no,no,0,3,545,stimuli/pictures/dog_york_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/dog_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,623,103,697398,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1226,stimuli/pictures/motor_dirt_2.jpg,0,1,NA,FALSE,yes,sound,stimuli/sounds/motor_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,629,104,701277,pztax6wgqwg,ono,badger,21,female,no,no,0,3,471,stimuli/pictures/drop_multi_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/drop_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,636,105,706773,pztax6wgqwg,ono,badger,21,female,no,no,0,3,670,stimuli/pictures/dog_rott_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/dog_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,642,106,711735,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1409,stimuli/pictures/drop_single_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/cough_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,648,107,715775,pztax6wgqwg,ono,badger,21,female,no,no,0,3,686,stimuli/pictures/drop_multi_1.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/drop_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,654,108,720148,pztax6wgqwg,ono,badger,21,female,no,no,0,3,819,stimuli/pictures/cough_wom_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/cough_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,660,109,724869,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1194,stimuli/pictures/cough_wom_2.jpg,1,0,NA,FALSE,no,sound,stimuli/sounds/drop_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,666,110,728687,pztax6wgqwg,ono,badger,21,female,no,no,0,3,563,stimuli/pictures/drop_single_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/dog_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,672,111,732538,pztax6wgqwg,ono,badger,21,female,no,no,0,3,569,stimuli/pictures/motor_harley_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drop_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,678,112,736332,pztax6wgqwg,ono,badger,21,female,no,no,0,3,428,stimuli/pictures/motor_dirt_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/motor_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,684,113,740423,pztax6wgqwg,ono,badger,21,female,no,no,0,3,678,stimuli/pictures/drop_multi_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/hiccup_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,690,114,745464,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1607,stimuli/pictures/motor_harley_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/hiccup_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,696,115,749542,pztax6wgqwg,ono,badger,21,female,no,no,0,3,523,stimuli/pictures/cough_man_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/dog_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,702,116,753364,pztax6wgqwg,ono,badger,21,female,no,no,0,3,660,stimuli/pictures/cough_man_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/hiccup_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,708,117,757275,pztax6wgqwg,ono,badger,21,female,no,no,0,3,603,stimuli/pictures/motor_dirt_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/motor_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,714,118,761285,pztax6wgqwg,ono,badger,21,female,no,no,0,3,559,stimuli/pictures/cough_man_1.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/cough_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,720,119,765341,pztax6wgqwg,ono,badger,21,female,no,no,0,3,562,stimuli/pictures/dog_rott_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/dog_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,726,120,769256,pztax6wgqwg,ono,badger,21,female,no,no,0,3,579,stimuli/pictures/hiccup_wom_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/motor_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,732,121,773492,pztax6wgqwg,ono,badger,21,female,no,no,0,3,639,stimuli/pictures/cough_man_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/cough_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,738,122,777478,pztax6wgqwg,ono,badger,21,female,no,no,0,3,714,stimuli/pictures/hiccup_wom_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/hiccup_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,744,123,781287,pztax6wgqwg,ono,badger,21,female,no,no,0,3,518,stimuli/pictures/drop_single_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/drop_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
